date,rank,title,gross,theaters,total_gross_to_date,days_in_release,is_opening_day
2026-05-11,-,Hoppers,18881.0,335.0,165708505.0,67,0
2026-05-11,-,Mother Mary,7988.0,55.0,2534804.0,25,0
2026-05-11,-,The Christophers,7658.0,70.0,1780100.0,32,0
2026-05-11,-,"You, Me & Tuscany",5410.0,87.0,18707030.0,32,0
2026-05-11,-,A Great Awakening,4910.0,88.0,8075864.0,39,0
2026-05-11,-,Mile End Kicks,4233.0,13.0,640922.0,25,0
2026-05-11,-,Erupcja,3551.0,50.0,202461.0,25,0
2026-05-11,-,I Swear,3536.0,23.0,999885.0,18,0
2026-05-11,-,Silent Friend,2502.0,2.0,74205.0,4,0
2026-05-11,-,Kiki’s Delivery Service,403.0,2.0,2668902.0,12927,0
2026-05-11,-,Kontinental ‘25,291.0,8.0,44877.0,46,0
2026-05-11,-,Fireflies at El Mozote,246.0,2.0,99019.0,25,0
2026-05-11,-,Strange Journey: The Story of Rocky Horror,234.0,1.0,122185.0,228,0
2026-05-11,-,Fuze,164.0,7.0,1479443.0,18,0
2026-05-11,-,Miroirs No. 3,118.0,7.0,212240.0,53,0
2026-05-11,-,Whisper of the Heart,106.0,4.0,390334.0,625,0
2026-05-11,-,Solo Mio,37.0,5.0,25735721.0,95,0
2026-05-10,1,The Devil Wears Prada 2,16287351.0,4200.0,143447244.0,10,0
2026-05-10,2,Michael,14668060.0,3550.0,241893270.0,17,0
2026-05-10,3,Mortal Kombat II,8402098.0,3503.0,38501177.0,3,0
2026-05-10,4,The Sheep Detectives,5890364.0,3457.0,15087796.0,3,0
2026-05-10,5,Project Hail Mary,2352961.0,2417.0,328302282.0,52,0
2026-05-10,6,The Super Mario Galaxy Movie,2049265.0,3075.0,412156435.0,40,0
2026-05-10,7,Hokum,872121.0,1900.0,12423732.0,10,0
2026-05-10,8,Billie Eilish: Hit Me Hard and Soft—The Tour,752882.0,2613.0,7011311.0,3,0
2026-05-10,9,Deep Water,274234.0,1301.0,3730595.0,10,0
2026-05-10,10,Animal Farm,232941.0,2140.0,5040903.0,10,0
2026-05-10,11,Lee Cronin’s The Mummy,160633.0,612.0,28717189.0,24,0
2026-05-10,12,The Drama,81877.0,292.0,47723469.0,38,0
2026-05-10,13,Hoppers,73940.0,335.0,165689624.0,66,0
2026-05-10,-,The Story of Everything,62349.0,260.0,1800208.0,11,0
2026-05-10,-,That Time I Got Reincarnated as a Slime the Movie: Tears of the Azure Sea,38571.0,837.0,1345896.0,10,0
2026-05-10,-,"You, Me & Tuscany",21535.0,87.0,18701620.0,31,0
2026-05-10,-,The Christophers,20899.0,70.0,1772442.0,31,0
2026-05-10,-,Labyrinth,20626.0,430.0,20626.0,1,1
2026-05-10,-,Mother Mary,12856.0,55.0,2526816.0,24,0
2026-05-10,-,A Great Awakening,12823.0,88.0,8070954.0,38,0
2026-05-10,-,Silent Friend,10763.0,2.0,71703.0,3,0
2026-05-10,-,Erupcja,8130.0,50.0,198910.0,24,0
2026-05-10,-,I Swear,6119.0,23.0,996349.0,17,0
2026-05-10,-,Mile End Kicks,4957.0,10.0,636689.0,24,0
2026-05-10,-,Kiki’s Delivery Service,2131.0,2.0,2668499.0,12926,0
2026-05-10,-,Over Your Dead Body,1724.0,30.0,2150496.0,17,0
2026-05-10,-,Fireflies at El Mozote,867.0,2.0,98773.0,24,0
2026-05-10,-,Whisper of the Heart,734.0,4.0,390228.0,624,0
2026-05-10,-,Fuze,495.0,7.0,1479279.0,17,0
2026-05-10,-,Solo Mio,462.0,5.0,25735684.0,94,0
2026-05-10,-,Kontinental ‘25,451.0,8.0,44586.0,45,0
2026-05-10,-,Miroirs No. 3,380.0,7.0,212122.0,52,0
2026-05-10,-,Reunion,54.0,1.0,35278.0,12841,0
2026-05-12,1,The Devil Wears Prada 2,4767153.0,4200.0,151588589.0,12,0
2026-05-12,2,Michael,4724258.0,3550.0,250194940.0,19,0
