title,year,release_date,rt_slug,wayback_timestamp,wayback_date_prerelease,rt_score_prerelease,rt_reviews_prerelease,rt_audience_prerelease,rt_score_final,rt_reviews_final,rt_audience_final
Ghostbusters,2020,2020-07-03,ghostbusters,,,,,,95.0,83.0,88.0
The Addams Family,2020,2020-10-23,the_addams_family_2019,,,,,,46.0,158.0,70.0
Maleficent: Mistress of Evil,2020,2019-10-18,maleficent_mistress_of_evil,20191017000908,2019-10-17 00:09 UTC (Thu),,,,40.0,258.0,95.0
Chhapaak,2020,2020-01-10,chhapaak,20200109222203,2020-01-09 22:22 UTC (pre-release fallback),,,,89.0,18.0,85.0
The Polar Express,2020,2020-12-04,the_polar_express,,,,,,55.0,210.0,64.0
Shortcut,2020,2020-09-25,shortcut_2020,,,,,,60.0,25.0,24.0
Panga,2020,2020-01-24,panga_2020,,,,,,94.0,17.0,83.0
Black Christmas,2020,2019-12-13,black_christmas,,,,,,14.0,66.0,38.0
Color Out of Space,2020,2020-01-24,color_out_of_space,,,,,,86.0,213.0,82.0
Midway,2020,2019-11-08,midway,,,,,,39.0,18.0,71.0
Synchronic,2020,2020-10-23,synchronic,,,,,,79.0,160.0,76.0
Guardians of the Galaxy,2020,2020-11-13,guardians_of_the_galaxy,20201112021220,2020-11-12 02:12 UTC (pre-release fallback),,,,91.0,337.0,92.0
Followed,2020,2020-06-19,followed,,,,,,76.0,25.0,46.0
Harriet,2020,2019-11-01,harriet,20191031105606,2019-10-31 10:56 UTC (Thu),,,,74.0,233.0,97.0
The Addams Family,2020,2019-10-11,the_addams_family_2019,,,,,,46.0,158.0,70.0
The Big Ugly,2020,2020-07-24,the_big_ugly,,,,,,40.0,20.0,77.0
Alone,2020,2020-09-18,alone,,,,,,58.0,171.0,58.0
Dark Waters,2020,Nov 22,dark_waters,,,,,,71.0,7.0,54.0
Kajillionaire,2020,2020-09-25,kajillionaire,,,,,,90.0,213.0,47.0
The Call,2020,2020-10-02,the_call_2020,,,,,,46.0,24.0,65.0
The Grinch,2020,2020-11-27,the_grinch,,,,,,60.0,197.0,54.0
Ava,2020,2020-09-25,ava,,,,,,85.0,20.0,67.0
Once Were Brothers,2020,2020-02-21,,,,,,,,,
The Forgotten Carols,2020,2020-11-20,the_forgotten_carols,,,,,,97.0,42.0,97.0
Pinocchio,2020,2020-12-25,pinocchio,,,,,,0.0,54.0,34.0
Spell,2020,2020-10-30,spell,,,,,,0.0,9.0,
Beauty and the Beast,2020,2020-07-17,beauty_and_the_beast,,,,,,96.0,67.0,90.0
Fantastic Fungi,2020,2019-09-20,fantastic_fungi,,,,,,100.0,22.0,94.0
Stevie Nicks 24 Karat Gold the Concert,2020,2020-10-21,,,,,,,,,
Seberg,2020,2020-02-21,seberg,,,,,,36.0,140.0,49.0
Iron Man,2020,2020-07-17,iron_man,,,,,,94.0,278.0,91.0
Infamous,2020,2020-06-12,infamous,,,,,,75.0,154.0,69.0
The Kid Detective,2020,2020-10-16,the_kid_detective,,,,,,85.0,65.0,76.0
Buddy Games,2020,2020-11-20,the_buddy_games,,,,,,16.0,25.0,67.0
Black Panther,2020,2020-07-10,black_panther,,,,,,48.0,7.0,48.0
Tulsa,2020,2020-08-21,tulsa,20200820152500,2020-08-20 15:25 UTC (pre-release fallback),,,,44.0,14.0,44.0
She Dies Tomorrow,2020,2020-07-31,she_dies_tomorrow,,,,,,84.0,190.0,24.0
Les Misérables,2020,2020-01-10,,,,,,,,,
Greed,2020,2020-02-28,greed_2020,,,,,,50.0,149.0,32.0
Clemency,2020,2019-12-27,,,,,,,,,
Yellow Rose,2020,2020-10-09,yellow_rose,,,,,,87.0,53.0,52.0
The Eight Hundred,2020,2020-08-28,the_eight_hundred,,,,,,89.0,27.0,78.0
Ride Your Wave,2020,2020-02-19,ride_your_wave,,,,,,93.0,30.0,84.0
Casper,2020,1995-05-26,casper,,,,,,59.0,110.0,51.0
Ordinary Love,2020,2020-02-14,ordinary_love,,,,,,93.0,109.0,69.0
Judy,2020,Sep 27,,,,,,,,,
The Informer,2020,2020-11-06,the_informer_2020,,,,,,63.0,57.0,62.0
Die Hard,2020,2020-12-04,die_hard,,,,,,94.0,89.0,94.0
Save Yourselves!,2020,2020-10-02,save_yourselves,,,,,,89.0,90.0,60.0
Playing with Fire,2020,2019-11-08,playing_with_fire,,,,,,43.0,4.0,43.0
Gremlins,2020,2020-07-10,gremlins,,,,,,86.0,91.0,78.0
The Traitor,2020,2020-01-31,the_traitor_2020,,,,,,86.0,106.0,73.0
Created Equal: Clarence Thomas in His Own Words,2020,2020-01-31,created_equal_clarence_thomas_in_his_own_words,,,,,,35.0,17.0,99.0
Fatman,2020,2020-11-13,fatman,,,,,,44.0,117.0,84.0
An American in Paris,2020,2020-01-19,american_in_paris,,,,,,95.0,101.0,78.0
Back to the Future,2020,2020-07-31,back_to_the_future,,,,,,93.0,118.0,95.0
63 Up,2020,2019-11-27,63_up,,,,,,98.0,56.0,95.0
Doctor Who Live Q&A And Screening,2020,2020-01-05,,,,,,,,,
CatVideoFest 2020,2020,2020-02-21,,,,,,,,,
Wonder Woman,2020,2020-12-11,wonder_woman,,,,,,85.0,13.0,78.0
Tokyo Godfathers,2020,2020-03-09,tokyo_godfathers,,,,,,92.0,77.0,91.0
Fate/stay night [Heaven's Feel] III. spring song,2020,2020-11-18,,,,,,,,,
Wild Mountain Thyme,2020,2020-12-11,wild_mountain_thyme,,,,,,25.0,134.0,55.0
Bohemian Rhapsody,2020,2020-07-17,bohemian_rhapsody,,,,,,60.0,417.0,85.0
The Secrets We Keep,2020,2020-09-16,the_secrets_we_keep,,,,,,62.0,63.0,42.0
Cunningham,2020,2019-12-13,cunningham,20191212093156,2019-12-12 09:31 UTC (Thu),,,,89.0,61.0,73.0
Ashfall,2020,2019-12-19,ashfall,,,,,,70.0,10.0,74.0
The Climb,2020,2020-11-13,10001205-climb,,,,,,73.0,32.0,73.0
Zombieland: Double Tap,2020,2019-10-18,zombieland_double_tap,,,,,,68.0,259.0,88.0
The Doors: Break On Thru - A Celebration Of Ray Manzarek,2020,2020-02-12,the_doors_break_on_thru_a_celebration_of_ray_manzarek,,,,,,100.0,6.0,100.0
The Wolf of Snow Hollow,2020,2020-10-09,the_wolf_of_snow_hollow,,,,,,90.0,78.0,63.0
The Outpost,2020,2020-07-03,the_outpost_2020,20200630001609,2020-06-30 00:16 UTC (pre-release fallback),,,,91.0,99.0,82.0
The Good Liar,2020,2019-11-15,the_good_liar,,,,,,64.0,165.0,85.0
And Then We Danced,2020,2020-02-07,and_then_we_danced,,,,,,94.0,93.0,95.0
Come Away,2020,2020-11-13,come_away,,,,,,29.0,69.0,49.0
Follow Me,2020,2020-09-18,no_escape_2020,,,,,,38.0,13.0,44.0
Extra Ordinary,2020,2020-03-06,extra_ordinary,,,,,,98.0,93.0,77.0
Palm Springs,2020,2020-07-10,palm_springs_2020,,,,,,95.0,253.0,89.0
Beanpole,2020,2020-01-29,beanpole,,,,,,93.0,111.0,76.0
A Call to Spy,2020,2020-10-02,a_call_to_spy,,,,,,70.0,50.0,75.0
Love Story,2020,2020-02-09,love_story,,,,,,65.0,31.0,75.0
F9: The Fast Saga,2021,2021-06-25,,,,,,,,,
Shang-Chi and the Legend of the Ten Rings,2021,2021-09-03,shang_chi_and_the_legend_of_the_ten_rings,,,,,,92.0,345.0,98.0
Venom: Let There Be Carnage,2021,2021-10-01,venom_let_there_be_carnage,20210930135202,2021-09-30 13:52 UTC (pre-release fallback),,,,58.0,282.0,83.0
Spider-Man: No Way Home,2021,2021-12-17,spider_man_no_way_home,20211215035145,2021-12-15 03:51 UTC (Wed),,,,93.0,430.0,97.0
Black Widow,2021,2021-07-09,black_widow_2021,20210708021141,2021-07-08 02:11 UTC (pre-release fallback),,,,79.0,463.0,91.0
No Time to Die,2021,2021-10-08,no_time_to_die_2021,20211007220623,2021-10-07 22:06 UTC (Thu eve),,,,83.0,429.0,88.0
Eternals,2021,2021-11-05,eternals,,,,,,48.0,416.0,77.0
Free Guy,2021,2021-08-13,free_guy,20210812043715,2021-08-12 04:37 UTC (Thu),,,,80.0,296.0,94.0
Dune: Part One,2021,2021-10-22,,,,,,,,,
