title,year,release_date,total_gross_domestic,max_theaters,genre,budget_chart,detail_url
Madagascar,2020,Dec 25,516210.0,,-,,https://www.boxofficemojo.com/release/rl1938456577/?ref_=bo_yld_table_130
100% Wolf,2020,Oct 9,658764.0,124.0,-,,https://www.boxofficemojo.com/release/rl1700365057/?ref_=bo_yld_table_131
The Big Ugly,2020,Jul 24,514107.0,68.0,-,,https://www.boxofficemojo.com/release/rl843416321/?ref_=bo_yld_table_132
The Call,2020,Oct 2,516521.0,195.0,-,,https://www.boxofficemojo.com/release/rl2874508033/?ref_=bo_yld_table_133
The Grinch,2020,Nov 27,473781.0,450.0,-,,https://www.boxofficemojo.com/release/rl3177349889/?ref_=bo_yld_table_134
Dark Waters,2020,Nov 22,11136084.0,2112.0,-,,https://www.boxofficemojo.com/release/rl2047575553/?ref_=bo_yld_table_135
The Forgotten Carols,2020,Nov 20,502252.0,70.0,-,,https://www.boxofficemojo.com/release/rl1700299521/?ref_=bo_yld_table_136
Spell,2020,Oct 30,500104.0,369.0,-,,https://www.boxofficemojo.com/release/rl3255338497/?ref_=bo_yld_table_137
Ava,2020,Sep 25,497747.0,252.0,-,,https://www.boxofficemojo.com/release/rl1649509121/?ref_=bo_yld_table_138
Pinocchio,2020,Dec 25,1831718.0,824.0,-,,https://www.boxofficemojo.com/release/rl3428745985/?ref_=bo_yld_table_139
Beauty and the Beast,2020,Jul 17,467000.0,527.0,-,,https://www.boxofficemojo.com/release/rl21660417/?ref_=bo_yld_table_140
Once Were Brothers,2020,Feb 21,449561.0,152.0,-,,https://www.boxofficemojo.com/release/rl2662957569/?ref_=bo_yld_table_141
Seberg,2020,Feb 21,434702.0,373.0,-,,https://www.boxofficemojo.com/release/rl2584446465/?ref_=bo_yld_table_142
Iron Man,2020,Jul 17,430000.0,462.0,-,,https://www.boxofficemojo.com/release/rl71992065/?ref_=bo_yld_table_143
Fantastic Fungi,2020,Sep 20,1788322.0,37.0,-,,https://www.boxofficemojo.com/release/rl2886436353/?ref_=bo_yld_table_144
Infamous,2020,Jun 12,429148.0,58.0,-,,https://www.boxofficemojo.com/release/rl3124855553/?ref_=bo_yld_table_145
Tulsa,2020,Aug 21,413378.0,192.0,-,,https://www.boxofficemojo.com/release/rl4216161025/?ref_=bo_yld_table_146
Stevie Nicks 24 Karat Gold the Concert,2020,Oct 21,410265.0,413.0,-,,https://www.boxofficemojo.com/release/rl2102952705/?ref_=bo_yld_table_147
Buddy Games,2020,Nov 20,405904.0,401.0,-,,https://www.boxofficemojo.com/release/rl1180664577/?ref_=bo_yld_table_148
Black Panther,2020,Jul 10,367000.0,421.0,-,,https://www.boxofficemojo.com/release/rl222659329/?ref_=bo_yld_table_149
