title,year,release_date,total_gross_domestic,max_theaters,genre,budget_chart,detail_url,opening_weekend,opening_theaters,budget,mpaa_rating,runtime_min,distributor,title_norm,rt_slug,wayback_timestamp,rt_score_prerelease,rt_reviews_prerelease,rt_audience_prerelease,rt_score_final,rt_reviews_final,rt_audience_final,release_dt,release_month,release_dow,release_year,is_holiday_weekend,is_summer,is_awards_season,is_spring_break,is_sequel,distributor_group,mpaa_ordinal,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_Horror,genre_Musical,genre_Romance,genre_Sci-Fi,genre_Thriller,primary_genre,budget_known,log_budget,rt_score_delta,log_rt_reviews_release,log_opening_weekend,log_total_gross,dist_A24,dist_Amazon,dist_Disney,dist_Lionsgate,dist_Netflix,dist_Other,dist_Paramount,dist_Sony,dist_Universal,dist_WB,month_1.0,month_2.0,month_3.0,month_4.0,month_5.0,month_6.0,month_7.0,month_8.0,month_9.0,month_10.0,month_11.0,month_12.0
Meg 2: The Trench,2023,2023-08-04,82600317.0,3604.0,Action Adventure Animation Horror Sci-Fi Thriller,,https://www.boxofficemojo.com/release/rl3090514689/?ref_=bo_yld_table_31,30002735.0,3503.0,,PG,116.0,Warner Bros.,meg 2 the trench,meg_2_the_trench,20230803205004.0,,,,27.0,183.0,72.0,2023-08-04,8.0,4.0,2023.0,0,1,0,0,1,WB,2,1,1,1,0,0,0,0,0,1,0,0,1,1,Action Adventure Animation Horror Sci-Fi Thriller,0,0.0,,0.0,17.216799135467962,18.22952408836273,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Insidious: The Red Door,2023,2023-07-07,82156962.0,3188.0,Horror Mystery Thriller,,https://www.boxofficemojo.com/release/rl1137607425/?ref_=bo_yld_table_32,33013036.0,3188.0,,PG,107.0,Screen Gems,insidious the red door,insidious_the_red_door,,,,,39.0,119.0,69.0,2023-07-07,7.0,4.0,2023.0,1,1,0,0,1,Other,2,0,0,0,0,0,0,0,0,1,0,0,0,1,Horror Mystery Thriller,0,0.0,,0.0,17.31241310202092,18.224142158441783,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Aquaman and the Lost Kingdom,2023,2023-12-22,124481226.0,3787.0,Action Adventure Animation Fantasy Sci-Fi,,https://www.boxofficemojo.com/release/rl3003745793/?ref_=bo_yld_table_33,27686211.0,3706.0,,PG,124.0,Warner Bros.,aquaman and the lost kingdom,aquaman_and_the_lost_kingdom,,,,,33.0,212.0,79.0,2023-12-22,12.0,4.0,2023.0,1,0,1,0,0,WB,2,1,1,1,0,0,0,0,1,0,0,0,1,0,Action Adventure Animation Fantasy Sci-Fi,0,0.0,,0.0,17.13644508550022,18.639665475350917,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
Blue Beetle,2023,2023-08-18,72488072.0,3871.0,Action Adventure Animation Sci-Fi Thriller,,https://www.boxofficemojo.com/release/rl3693445889/?ref_=bo_yld_table_34,25030225.0,3871.0,,PG,127.0,Warner Bros.,blue beetle,blue_beetle,20230817025015.0,82.0,79.0,,78.0,277.0,90.0,2023-08-18,8.0,4.0,2023.0,0,1,0,0,0,WB,2,1,1,1,0,0,0,0,0,0,0,0,1,1,Action Adventure Animation Sci-Fi Thriller,0,0.0,-4.0,4.382026634673881,17.035594692532197,18.098932595946764,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Haunted Mansion,2023,2023-07-28,67653287.0,3740.0,Comedy Drama Family Fantasy Horror Mystery,,https://www.boxofficemojo.com/release/rl707822337/?ref_=bo_yld_table_35,24082475.0,3740.0,,PG,123.0,Walt Disney Studios Motion Pictures,haunted mansion,haunted_mansion,,,,,14.0,139.0,32.0,2023-07-28,7.0,4.0,2023.0,0,1,0,0,0,Disney,2,0,0,0,1,0,1,1,1,1,0,0,0,0,Comedy Drama Family Fantasy Horror Mystery,0,0.0,,0.0,16.996994997039142,18.02990651450419,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Killers of the Flower Moon,2023,2023-10-20,68035488.0,3786.0,Crime Drama History Western,,https://www.boxofficemojo.com/release/rl629703425/?ref_=bo_yld_table_36,23253655.0,3628.0,,R,206.0,Paramount Pictures,killers of the flower moon,killers_of_the_flower_moon,20231019011523.0,,,,93.0,473.0,84.0,2023-10-20,10.0,4.0,2023.0,0,0,0,0,0,Paramount,4,0,0,0,0,1,1,0,0,0,0,0,0,0,Crime Drama History Western,0,0.0,,0.0,16.961972924947403,18.0355400240583,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Evil Dead Rise,2023,2023-04-21,67233054.0,3417.0,Horror,,https://www.boxofficemojo.com/release/rl1289192193/?ref_=bo_yld_table_37,24504315.0,3402.0,,R,96.0,Warner Bros.,evil dead rise,evil_dead_rise,20230420234319.0,,,,85.0,241.0,76.0,2023-04-21,4.0,4.0,2023.0,0,0,0,0,0,WB,4,0,0,0,0,0,0,0,0,1,0,0,0,0,Horror,0,0.0,,0.0,17.014359823265334,18.02367557443616,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
The Exorcist: Believer,2023,2023-10-06,65537395.0,3684.0,Horror,,https://www.boxofficemojo.com/release/rl2047378177/?ref_=bo_yld_table_38,26497600.0,3663.0,,R,111.0,Universal Pictures,the exorcist believer,the_exorcist_believer,,,,,22.0,252.0,57.0,2023-10-06,10.0,4.0,2023.0,0,0,0,0,1,Universal,4,0,0,0,0,0,0,0,0,1,0,0,0,0,Horror,0,0.0,,0.0,17.09256475855663,17.998131468983924,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
PAW Patrol: The Mighty Movie,2023,2023-09-29,65343309.0,4027.0,Action Adventure Animation Comedy Crime Family Fantasy Sci-Fi,,https://www.boxofficemojo.com/release/rl3038479105/?ref_=bo_yld_table_39,22764354.0,3989.0,,PG,88.0,Paramount Pictures,paw patrol the mighty movie,paw_patrol_the_mighty_movie,20230928235913.0,,,,71.0,49.0,93.0,2023-09-29,9.0,4.0,2023.0,0,0,0,0,1,Paramount,2,1,1,1,1,1,0,1,1,0,0,0,1,0,Action Adventure Animation Comedy Crime Family Fantasy Sci-Fi,0,0.0,,0.0,16.940706493382358,17.99516562095023,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Cocaine Bear,2023,2023-02-24,64670240.0,3571.0,Comedy Crime Thriller,,https://www.boxofficemojo.com/release/rl2503901953/?ref_=bo_yld_table_40,23260790.0,3534.0,,R,95.0,Universal Pictures,cocaine bear,cocaine_bear,,,,,65.0,332.0,71.0,2023-02-24,2.0,4.0,2023.0,0,0,0,0,0,Universal,4,0,0,0,1,1,0,0,0,0,0,0,0,1,Comedy Crime Thriller,0,0.0,,0.0,16.962279711355333,17.984811700027862,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
