title,year,numbers_slug,thu_preview,fri,sat,sun,weekend_total_daily,fri_sat_sun_total,fri_to_weekend_mult,fri_sat_sun_mult,sat_to_remaining_mult,opening_rank,opening_theaters,per_theater
My Penguin Friend,2024,My-Penguin-Friend-(2024),,367574.0,365272.0,300589.0,1033435.0,1033435.0,2.8115,2.8115,1.8229,-,1083.0,339.0
Absolution,2024,Absolution-(2024),,467593.0,563206.0,350893.0,1381692.0,1381692.0,2.9549,2.9549,1.623,12,1500.0,312.0
The Fabulous Four,2024,The-Fabulous-Four-(2024),,,,,,,,,,,,
Sight & Sound Presents: Daniel LIVE,2024,Sight-and-Sound-Presents-Daniel-LIVE-(2024),,563687.0,700567.0,715051.0,1979305.0,1979305.0,3.5114,3.5114,2.0207,13,669.0,563687.0
Ezra,2024,Ezra-(2024),,573662.0,373025.0,295991.0,1242678.0,1242678.0,2.1662,2.1662,1.7935,9,1320.0,435.0
The Taste of Things,2024,The-Taste-of-Things-(2024),,,,,,,,,,,,
GHOST: Rite Here Rite Now,2024,GHOST-Rite-Here-Rite-Now-(2024),,,,,,,,,,,,
Boy Kills World,2024,Boy-Kills-World-(2024),500000.0,828560.0,495271.0,358694.0,2182525.0,1682525.0,2.6341,2.0307,1.7242,8,1993.0,416.0
Escape from Germany,2024,Escape-from-Germany-(2024),,39619.0,78832.0,83911.0,202362.0,202362.0,5.1077,5.1077,2.0644,-,40.0,990.0
"Hello, Love, Again",2024,Hello-Love-Again-(2024),,,,,,,,,,,,
Jung Kook: I Am Still,2024,Jung-Kook-I-Am-Still-(2024),,,,,,,,,,,,
The Lord of the Rings: The Two Towers,2024,The-Lord-of-the-Rings-The-Two-Towers-(2024),,,,,,,,,,,,
The Blue Angels,2024,The-Blue-Angels-(2024),,,,,,,,,,,,
Problemista,2024,Problemista-(2024),,,,,,,,,,,,
Summer Camp,2024,Summer-Camp-(2024),100000.0,388152.0,393690.0,304760.0,1186602.0,1086602.0,3.0571,2.7994,1.7741,10,1787.0,217.0
The American Society of Magical Negroes,2024,The-American-Society-of-Magical-Negroes-(2024),,,,,,,,,,,,
Sing Sing,2024,Sing-Sing-(2024),,54448.0,48630.0,34041.0,137119.0,137119.0,2.5183,2.5183,1.7,-,4.0,13612.0
Hitpig!,2024,Hitpig-(2024),,292120.0,490968.0,371056.0,1154144.0,1154144.0,3.9509,3.9509,1.7558,13,2055.0,142.0
Howl's Moving Castle,2024,Howls-Moving-Castle-(2024),,,,,,,,,,,,
Elevation,2024,Elevation-(2024),,402670.0,475455.0,338453.0,1216578.0,1216578.0,3.0213,3.0213,1.7119,12,1416.0,284.0
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2024,Interstella-5555-The-5tory-of-the-5ecret-5tar-5ystem-(2024),,,,,,,,,,,,
Alien,2024,Alien-(2024),,,,,,,,,,,,
Exhuma,2024,Exhuma-(2024),,,,,,,,,,,,
Flow,2024,Flow-(2024),,,,,,,,,,,,
In the Land of Saints and Sinners,2024,In-the-Land-of-Saints-and-Sinners-(2024),,,,,,,,,,,,
Bhool Bhulaiyaa 3,2024,Bhool-Bhulaiyaa-3-(2024),,,,,,,,,,,,
The Lion King,2024,The-Lion-King-(2024),,,,,,,,,,,,
Average Joe,2024,Average-Joe-(2024),,450579.0,369620.0,309213.0,1129412.0,1129412.0,2.5066,2.5066,1.8366,11,265.0,450579.0
Singham Again,2024,Singham-Again-(2024),,,,,,,,,,,,
Stree 2,2024,Stree-2-(2024),,,,,,,,,,,,
The Holdovers,2024,The-Holdovers-(2024),,,,,,,,,,,,
Between the Temples,2024,Between-the-Temples-(2024),,86630.0,166006.0,164756.0,417392.0,417392.0,4.8181,4.8181,1.9925,-,304.0,285.0
Lee,2024,Lee-(2024),,228817.0,284493.0,199945.0,713255.0,713255.0,3.1171,3.1171,1.7028,-,854.0,268.0
The Ark and the Darkness,2024,The-Ark-and-the-Darkness-(2024),,,,,,,,,,,,
Look Back,2024,Look-Back-(2024),,,,,,,,,,,,
Yolo,2024,Yolo-(2024),,,,,,,,,,,,
Queen Rock Montreal,2024,Queen-Rock-Montreal-(2024),,,,,,,,,,,,
The Order,2024,The-Order-(2024),,,,,,,,,,,,
