detected_at,rank,username,wallet,trader_pnl,title,outcome,side,price,size,usdc_size,timestamp,tx_hash,event_slug,condition_id
2026-02-25T07:17:35.826476+00:00,6,DrPufferfish,0xdb27bf2ac5d428a9c63dbc914611036855a6c56e,181004.28954751132,Spurs vs. Raptors,Raptors,BUY,0.2700000025550001,27.397259,7.39726,1772003368,0x2c16ee7f531c4500e20022b411ccb323a7840b95e558b6d7ab16b6a6867f9ad9,nba-sas-tor-2026-02-25,0x98d80eca2793124db7bb1bb6ba1e91a87e1df52cbd1800402798f9aa4a421163
2026-02-25T07:17:36.594121+00:00,6,DrPufferfish,0xdb27bf2ac5d428a9c63dbc914611036855a6c56e,181004.28954751132,Spurs vs. Raptors,Raptors,BUY,0.27,136.9863,36.986301,1772003354,0xba9a7bcff539f9316c82330593863c90335b1031b8a8b008d31a07ed72dcb74f,nba-sas-tor-2026-02-25,0x98d80eca2793124db7bb1bb6ba1e91a87e1df52cbd1800402798f9aa4a421163
2026-02-25T07:17:37.395552+00:00,6,DrPufferfish,0xdb27bf2ac5d428a9c63dbc914611036855a6c56e,181004.28954751132,Will the Toronto Raptors win the 2026 NBA Finals?,Yes,BUY,0.007000000827501516,6.042285,0.042296,1772003354,0xf61ae625554db8b9ac55252da8d09029319cd4deb685445aff8947964d3a0283,2026-nba-champion,0x4405c62496c4fdd275d17ec31567a01534013c518c314ce61bb633b5e7cb6426
2026-02-25T07:17:38.147427+00:00,6,DrPufferfish,0xdb27bf2ac5d428a9c63dbc914611036855a6c56e,181004.28954751132,Spurs vs. Raptors,Raptors,BUY,0.27000002391380057,7.945203,2.145205,1772003294,0xf857f5ecbd7202a6ce5517cabdffdcff00f57aeb9368aab2be238c653b90d0da,nba-sas-tor-2026-02-25,0x98d80eca2793124db7bb1bb6ba1e91a87e1df52cbd1800402798f9aa4a421163
2026-02-25T07:17:38.862073+00:00,6,DrPufferfish,0xdb27bf2ac5d428a9c63dbc914611036855a6c56e,181004.28954751132,Spurs vs. Raptors,Raptors,BUY,0.27000018980014046,1.369862,0.369863,1772003276,0x09d66839803bee26d7daa6b0bb202545b60660b0662f6585a682e9abb2a3a9dc,nba-sas-tor-2026-02-25,0x98d80eca2793124db7bb1bb6ba1e91a87e1df52cbd1800402798f9aa4a421163
2026-02-25T07:17:39.629194+00:00,6,DrPufferfish,0xdb27bf2ac5d428a9c63dbc914611036855a6c56e,181004.28954751132,Spurs vs. Raptors,Raptors,BUY,0.27,9.47,2.5569,1772003238,0x700d8909314d249be531419f6ea73ce5662f3356834917bfb7a4f8e7318fd8b7,nba-sas-tor-2026-02-25,0x98d80eca2793124db7bb1bb6ba1e91a87e1df52cbd1800402798f9aa4a421163
2026-02-25T07:17:40.353514+00:00,6,DrPufferfish,0xdb27bf2ac5d428a9c63dbc914611036855a6c56e,181004.28954751132,Spurs vs. Raptors,Raptors,BUY,0.27,12.03,3.2481,1772003236,0x73418f04628086212464bffa0d397b2b7c59f6b6cdddfd8d8a425942a0910335,nba-sas-tor-2026-02-25,0x98d80eca2793124db7bb1bb6ba1e91a87e1df52cbd1800402798f9aa4a421163
2026-02-25T07:17:41.129984+00:00,6,DrPufferfish,0xdb27bf2ac5d428a9c63dbc914611036855a6c56e,181004.28954751132,Spurs vs. Raptors,Raptors,BUY,0.27000002920001553,4.794518,1.29452,1772002934,0x83010bfca877f4cbf928c14fd0dfff5ed672426c0d348c9033f86788321a76c1,nba-sas-tor-2026-02-25,0x98d80eca2793124db7bb1bb6ba1e91a87e1df52cbd1800402798f9aa4a421163
2026-02-25T07:17:42.946110+00:00,7,elkmonkey,0xead152b855effa6b5b5837f53b24c0756830c76a,163621.3733512228,Pelicans vs. Jazz,Pelicans,BUY,0.61,8,4.88,1772003842,0x20cb8d0172f9c66bb72124946e114614630023a3a68469f2a12ce8b1aaacfddb,nba-nop-uta-2026-02-26,0x569617c8a443da910cfd75418ab2351cddb35019be9422def0f23123b756e97e
2026-02-25T07:17:43.637646+00:00,7,elkmonkey,0xead152b855effa6b5b5837f53b24c0756830c76a,163621.3733512228,Pelicans vs. Jazz,Pelicans,BUY,0.61,10,6.1,1772003842,0xedd110a60f309970ea21e0375ad49f0417e378d5ff51a21757d6460785c31db1,nba-nop-uta-2026-02-26,0x569617c8a443da910cfd75418ab2351cddb35019be9422def0f23123b756e97e
2026-02-25T07:17:44.348073+00:00,7,elkmonkey,0xead152b855effa6b5b5837f53b24c0756830c76a,163621.3733512228,Pelicans vs. Jazz,Pelicans,BUY,0.61,5,3.05,1772003842,0xefde65a1143848fd34d8a01432615e32643bf521e4733f936ff3a5c3484530d6,nba-nop-uta-2026-02-26,0x569617c8a443da910cfd75418ab2351cddb35019be9422def0f23123b756e97e
2026-02-25T07:17:45.087323+00:00,7,elkmonkey,0xead152b855effa6b5b5837f53b24c0756830c76a,163621.3733512228,Pelicans vs. Jazz,Pelicans,BUY,0.61,5,3.05,1772003842,0x8db23d95335309987bb6bc08bb5765c09b0e81ce02efaec8a6ce1c7d7597ce68,nba-nop-uta-2026-02-26,0x569617c8a443da910cfd75418ab2351cddb35019be9422def0f23123b756e97e
2026-02-25T07:17:45.778062+00:00,7,elkmonkey,0xead152b855effa6b5b5837f53b24c0756830c76a,163621.3733512228,Will BV Borussia 09 Dortmund win on 2026-02-25?,Yes,BUY,0.31,59,18.29,1772003834,0x40ae4225566ab86a0800bc6f03dc32f4d16c9491c0825f9699e780538004bbf1,ucl-ata1-bvb-2026-02-25,0xcae508361b37e1b47378a7a21d9e4af0e01ec93500141231555b5e7875687819
